OrderID,OrderDate,customer_name,product_name,Quantity,price_per_carton,discount,revenue,cogs,location,sales_reps,payment_method,order_status,delivery_time
10000,44197,Bradenburg Multichoice,500pcs in a jar,40,51600,0,2064000,1720000,Ogun,Tunde Ogunleye,Cash,Delivered,2
10001,44197,Real Treasure Christian Bookshop,100pcs in a jar,3,50400,0,151200,126000,Oyo,Yemi Akande,Cash,Delivered,5
10002,44197,Css Bookshop,100pcs in nylon,2,80000,0,160000,130000,Lagos,Adeola Johnson,Bank Transfer,Delivered,3
10003,44197,Deprince Supermarket,100pcs in a jar,7,50400,0,352800,294000,Lagos,Funmi Adebayo,Bank Transfer,Delivered,1
10004,44197,Deprince Supermarket,100pcs in a jar,3,50400,0,151200,126000,Lagos,Funmi Adebayo,Bank Transfer,Delivered,1
10005,44197,Deprince Supermarket,500pcs in a jar,8,51600,0,412800,344000,Lagos,Adeola Johnson,Cash,Delivered,1
10006,44197,Bradenburg Multichoice,500pcs in a jar,39,51600,0,2012400,1677000,Ogun,Bisi Awolowo,Cash,Delivered,2
10007,44197,Deprince Supermarket,100pcs in a jar,94,50400,0,4737600,3948000,Lagos,Adeola Johnson,Bank Transfer,Delivered,3
10008,44197,Deprince Supermarket,500pcs in a jar,4,51600,15,206400,172000,Lagos,Funmi Adebayo,Cash,Delivered,3
10009,44197,Deprince Supermarket,100pcs in a jar,7,50400,0,352800,294000,Lagos,Adeola Johnson,Bank Transfer,Delivered,4
10010,44197,The Lamb Christian Bookshop,250pcs in a jar,2,51600,0,103200,86000,Osun,Afolabi Ige,Bank Transfer,Cancelled,8
10011,44197,Bradenburg Multichoice,100pcs in a jar,7,50400,0,352800,294000,Ogun,Bisi Awolowo,Cash,Delivered,2
10012,44197,Css Bookshop,100pcs in a jar,5,50400,0,252000,210000,Lagos,Funmi Adebayo,Bank Transfer,Delivered,1
10013,44197,Css Bookshop,100pcs in a jar,13,50400,0,655200,546000,Lagos,Adeola Johnson,POS,Delivered,5
10014,44198,Css Bookshop,100pcs in a jar,13,50400,0,655200,546000,Lagos,Adeola Johnson,POS,Delivered,5
10015,44197,Bradenburg Multichoice,100pcs in a jar,21,50400,0,1058400,882000,Ogun,Bisi Awolowo,Bank Transfer,Delivered,2
10016,44197,Bradenburg Multichoice,100pcs in a jar,5,50400,0,252000,210000,Ogun,Bisi Awolowo,Cash,Delivered,1
10017,44197,Baptist Bookshop,250pcs in a jar,2,51600,0,103200,86000,Abuja,Ngozi Eze,Credit,Delivered,5
10018,44197,The Lamb Christian Bookshop,100pcs in a jar,1,50400,0,50400,42000,Osun,Afolabi Ige,Bank Transfer,Delivered,2
10019,44198,Css Bookshop,500pcs in a jar,4,51600,0,206400,172000,Lagos,Abdul Mohammed,Bank Transfer,Delivered,4
10020,44198,Ace Supermarket,500pcs in a jar,6,51600,0,309600,258000,Lagos,Funmi Adebayo,Bank Transfer,Delivered,1
10021,44198,Bradenburg Multichoice,500pcs in a jar,3,51600,0,154800,129000,Ogun,Bisi Awolowo,Bank Transfer,Delivered,24
10022,44198,Bible Wonderland,250pcs in a jar,1,51600,0,51600,-43000,Lagos,Funmi Adebayo,Cash,Delivered,1
10023,44199,Deprince Supermarket,500pcs in a jar,3,51600,0,154800,129000,Lagos,Adeola Johnson,Cash,Delivered,5
10024,44199,Deprince Supermarket,250pcs in a jar,10,51600,0,516000,430000,Lagos,Funmi Adebayo,Bank Transfer,Delivered,3
10025,44199,Css Bookshop,100pcs in a jar,2,50400,0,100800,84000,Lagos,Funmi Adebayo,Bank Transfer,Delivered,4
10026,44199,The Lamb Christian Bookshop,250pcs in a jar,2,51600,0,103200,86000,Osun,Afolabi Ige,Bank Transfer,Delivered,1
10027,44199,Css Bookshop,100pcs in a jar,4,50400,0,201600,168000,Lagos,Adeola Johnson,Bank Transfer,Delivered,5
10028,44199,Css Bookshop,100pcs in a jar,10,50400,0,504000,420000,Lagos,Adeola Johnson,Bank Transfer,Delivered,3
10029,44199,Bradenburg Multichoice,250pcs in a jar,36,51600,15,1857600,1548000,Ogun,Bisi Awolowo,POS,Delivered,2
10030,44199,Css Bookshop,100pcs in a jar,2,50400,0,100800,84000,Lagos,Chike Obi,POS,Delivered,1
10031,44199,Bradenburg Multichoice,100pcs in a jar,33,50400,0,1663200,1386000,Ogun,Abdul Mohammed,Bank Transfer,Delivered,1
10032,44200,Bradenburg Multichoice,100pcs in a jar,33,50400,0,1663200,1386000,Ogun,Abdul Mohammed,Bank Transfer,Delivered,1
10033,44199,Ace Supermarket,500pcs in a jar,12,51600,0,619200,516000,Lagos,Adeola Johnson,Cash,Delivered,2
10034,44199,Deprince Supermarket,250pcs in a jar,8,51600,0,412800,344000,Lagos,Adeola Johnson,Cash,Delivered,1
10035,44200,Bradenburg Multichoice,500pcs in a jar,55,51600,0,2838000,2365000,Ogun,Tunde Ogunleye,POS,Delivered,2
10036,44200,The Lamb Christian Bookshop,100pcs in a jar,3,50400,0,151200,126000,Osun,Afolabi Ige,Credit,Delivered,1
10037,44200,Bradenburg Multichoice,500pcs in a jar,12,51600,5,619200,516000,Ogun,Ngozi Eze,Bank Transfer,Delivered,29
10038,44200,Ace Supermarket,100pcs in nylon,17,80000,0,1360000,1105000,Lagos,Chike Obi,Bank Transfer,Delivered,2
10039,44200,Baptist Bookshop,100pcs in a jar,3,50400,0,151200,126000,Abuja,Ngozi Eze,Cash,On Hold,1
10040,44200,Deprince Supermarket,250pcs in a jar,22,51600,0,1135200,946000,Lagos,Abdul Mohammed,Bank Transfer,Delivered,1
10041,44200,Baptist Bookshop,250pcs in a jar,4,51600,0,206400,172000,Abuja,Ngozi Eze,Bank Transfer,Delivered,1
10042,44200,Bradenburg Multichoice,250pcs in a jar,37,51600,0,1909200,1591000,Ogun,Tunde Ogunleye,Bank Transfer,Delivered,6
10043,44200,Bible Wonderland,250pcs in a jar,2,51600,0,103200,86000,Lagos,Chike Obi,Bank Transfer,Delivered,1
10044,44200,Real Treasure Christian Bookshop,100pcs in a jar,7,50400,15,352800,294000,Oyo,Segun Adesina,Bank Transfer,Delivered,4
10045,44200,Css Bookshop,100pcs in a jar,1,50400,0,50400,42000,Lagos,Chike Obi,Credit,Delivered,2
10046,44200,Deprince Supermarket,500pcs in a jar,18,51600,0,928800,774000,Lagos,Funmi Adebayo,Bank Transfer,On Hold,1
10047,44200,Bible Wonderland,500pcs in a jar,2,51600,0,103200,86000,Lagos,Funmi Adebayo,Bank Transfer,Delivered,1
10048,44200,Bradenburg Multichoice,100pcs in a jar,9,50400,0,453600,378000,Ogun,Bisi Awolowo,Bank Transfer,Delivered,3
10049,44200,Baptist Bookshop,100pcs in nylon,3,80000,0,240000,195000,Abuja,,POS,Delivered,5
10050,44200,Deprince Supermarket,250pcs in a jar,9,51600,0,464400,387000,Lagos,Chike Obi,Cash,Delivered,2
10051,44200,Css Bookshop,100pcs in nylon,3,80000,0,240000,195000,Lagos,Adeola Johnson,Credit,Delivered,4
10052,44200,Css Bookshop,250pcs in a jar,6,51600,0,309600,258000,Lagos,Funmi Adebayo,Cash,Delivered,1
10053,44200,Real Treasure Christian Bookshop,100pcs in nylon,3,80000,0,240000,195000,Oyo,Ngozi Eze,Cash,Pending,3
10054,44200,Baptist Bookshop,100pcs in a jar,3,50400,0,151200,126000,Abuja,Abdul Mohammed,Credit,Delivered,4
10055,44200,Bible Wonderland,100pcs in nylon,3,80000,0,240000,195000,Lagos,Adeola Johnson,Bank Transfer,Delivered,1
10056,44200,Deprince Supermarket,250pcs in a jar,14,51600,15,722400,602000,Lagos,Chike Obi,Cash,Delivered,1
10057,44200,Bible Wonderland,500pcs in a jar,1,51600,0,51600,43000,Lagos,Funmi Adebayo,Bank Transfer,Delivered,3
10058,44201,The Lamb Christian Bookshop,250pcs in a jar,4,51600,0,206400,172000,Osun,Afolabi Ige,Credit,Delivered,5
10059,44201,Real Treasure Christian Bookshop,100pcs in nylon,5,80000,0,400000,325000,Oyo,Segun Adesina,Cash,Delivered,8
10060,44201,The Lamb Christian Bookshop,500pcs in a jar,1,51600,0,51600,43000,Osun,Afolabi Ige,Bank Transfer,Delivered,1
10061,44201,Css Bookshop,100pcs in a jar,3,50400,0,151200,126000,Lagos,Chike Obi,POS,Delivered,3
10062,44201,Css Bookshop,250pcs in a jar,6,51600,10,309600,258000,Lagos,Funmi Adebayo,Credit,Delivered,3
10063,44201,Ace Supermarket,250pcs in a jar,9,51600,0,464400,387000,Lagos,Adeola Johnson,Bank Transfer,Delivered,12
10064,44201,Deprince Supermarket,100pcs in a jar,5,50400,0,252000,210000,Lagos,Adeola Johnson,Bank Transfer,Delivered,4
10065,44201,Bible Wonderland,100pcs in a jar,1,50400,15,50400,42000,Lagos,Funmi Adebayo,Bank Transfer,Delivered,3
10066,44201,Css Bookshop,100pcs in a jar,3,50400,0,151200,126000,Lagos,Funmi Adebayo,Bank Transfer,Delivered,4
10067,44201,Baptist Bookshop,500pcs in a jar,2,51600,0,103200,86000,Abuja,Abdul Mohammed,Bank Transfer,Delivered,1
10068,44201,Bradenburg Multichoice,500pcs in a jar,5,51600,5,258000,215000,Ogun,Tunde Ogunleye,Cash,Delivered,1
10069,44201,The Lamb Christian Bookshop,500pcs in a jar,3,51600,0,154800,129000,Osun,Afolabi Ige,Cash,On Hold,3
10070,44202,Bible Wonderland,100pcs in nylon,5,80000,10,400000,325000,Lagos,Funmi Adebayo,POS,Delivered,2
10071,44202,Ace Supermarket,100pcs in a jar,28,50400,0,1411200,1176000,,Abdul Mohammed,Cash,Delivered,5
10072,44202,Ace Supermarket,250pcs in a jar,25,51600,0,1290000,1075000,Lagos,Funmi Adebayo,Cash,Delivered,1
10073,44202,Real Treasure Christian Bookshop,100pcs in a jar,4,50400,0,201600,168000,Oyo,Segun Adesina,Bank Transfer,On Hold,6
10074,44202,Baptist Bookshop,100pcs in a jar,5,50400,0,252000,210000,Abuja,Abdul Mohammed,Bank Transfer,Delivered,1
10075,44202,The Lamb Christian Bookshop,500pcs in a jar,4,51600,0,206400,172000,Osun,Afolabi Ige,Bank Transfer,Delivered,2
10076,44203,The Lamb Christian Bookshop,500pcs in a jar,4,51600,0,206400,172000,Osun,Afolabi Ige,Bank Transfer,Delivered,2
10077,44202,Css Bookshop,500pcs in a jar,2,51600,15,103200,86000,Lagos,Funmi Adebayo,Bank Transfer,Delivered,10
10078,44202,Ace Supermarket,250pcs in a jar,2,51600,0,103200,86000,Lagos,Chike Obi,Bank Transfer,Delivered,1
